RA,DEC
3.19824,0.78774
5.28175,-0.92541
10.8617,-10.90608
11.01942,1.03138
19.62772,-10.73234
41.49394,-6.81685
118.09099,33.56359
118.87479,52.08072
119.11999,50.28786
120.28,17.9805
120.49207,17.86462
121.39582,24.16398
123.43175,52.96061
123.80141,38.67929
124.39357,44.9808
125.69847,4.29722
127.78982,41.79395
127.80063,43.69958
131.37104,42.33136
131.996,31.78564
135.45969,55.92427
137.97338,37.40372
138.10452,53.69423
138.68975,41.62067
139.9519,57.8489
141.54696,17.06609
143.06631,18.07221
144.175000,11.230827
145.35012,39.74499
145.50737,8.79359
146.76258,23.27063
149.16987,-0.02335
153.9927,40.7798
154.97701,39.50635
155.45993,8.14276
155.48614,14.7254
155.656,38.57917
157.86763,8.72337
158.68026,5.5555
159.01228,52.99339
161.26143,47.29978
161.63425,54.59992
161.92847,43.78131
162.71866,40.01411
163.66483,6.10853
165.14621,25.65308
165.46625,16.67742
165.559,24.49854
165.56217,23.68667
165.56534,29.12368
165.7248,12.98446
168.32464,41.40814
170.3602,53.74911
172.88985,60.7911
174.10982,50.22327
176.11332,37.1422
176.11715,3.97105
176.13749,21.53806
176.35827,-2.39248
177.45047,43.9035
178.49534,9.65828
178.855,25.53958
179.55401,30.10722
179.58392,26.35333
181.88719,33.87782
185.21858,31.55235
186.66759,25.64878
190.09164,46.94343
193.09422,3.26502
193.26324,45.01246
198.79084,8.681
199.76734,29.64301
200.32449,42.58754
202.20191,27.8744
203.72239,-1.54405
204.37173,48.30572
204.42646,29.70647
205.39521,53.74548
206.26262,9.79
206.38652,5.76957
207.82452,64.16028
207.85233,8.87123
208.63736,28.24338
208.85918,35.42892
213.13236,14.01141
213.19768,4.90877
213.86344,17.40867
215.92268,25.03033
216.48773,39.41247
217.54389,30.7412
219.31254,24.75895
221.60472,21.70274
221.60909,6.56642
222.45376,33.85745
223.5977,16.35529
224.46987,11.30264
224.47424,28.53854
225.13118,36.48051
225.44405,24.65447
227.11382,54.25211
228.19653,-1.73982
228.56119,23.45233
228.59692,1.19187
228.72534,42.01315
229.16453,2.78686
229.16758,0.25053
230.69005,19.70567
230.73912,2.92004
232.5332,23.27112
235.17668,42.36007
235.32828,51.67878
239.25073,41.51975
239.71942,26.4386
242.28934,16.43053
242.73798,3.36744
245.19437,43.15321
249.01758,27.30808
252.23892,26.07803
252.35005,26.58406
254.69649,62.94016
327.005329,-08.424306
348.92544,-0.4353
351.79458,-0.69936
